@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L1-5-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L1-3-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2,3,4}
@attribute outputs-2 {0,1,2}
@attribute outputs-3 {0,1,2}

@data
1,'2019/10/29 11:00:19:568',1,0,0,0,0,0,?,1,?
2,'2019/10/29 11:00:19:585',1,0,0,0,0,0,?,1,?
3,'2019/10/29 11:00:19:601',1,0,0,0,0,0,?,1,?
4,'2019/10/29 11:00:19:618',1,0,0,0,0,0,?,1,?
5,'2019/10/29 11:00:19:635',1,0,0,0,0,0,?,1,?
6,'2019/10/29 11:00:19:651',1,0,0,0,0,0,?,1,?
7,'2019/10/29 11:00:19:669',1,0,0,0,0,0,?,1,?
8,'2019/10/29 11:00:19:684',1,0,0,0,0,0,?,1,?
9,'2019/10/29 11:00:19:702',1,0,0,0,0,0,?,1,?
10,'2019/10/29 11:00:19:718',1,0,0,0,0,0,?,1,?
11,'2019/10/29 11:00:19:735',1,0,0,0,0,0,?,1,?
12,'2019/10/29 11:00:19:752',1,0,0,0,0,0,?,1,?
13,'2019/10/29 11:00:19:768',1,0,0,0,0,0,?,1,?
14,'2019/10/29 11:00:19:784',1,0,0,0,0,0,?,1,?
15,'2019/10/29 11:01:30:903',2,0,0,133,362,0,?,2,?
16,'2019/10/29 11:01:30:920',2,0,0,132,362,0,?,2,?
17,'2019/10/29 11:01:30:936',2,0,0,132,362,0,?,2,?
18,'2019/10/29 11:01:30:953',2,0,0,131,362,0,?,2,?
19,'2019/10/29 11:01:30:970',2,0,0,131,362,0,?,2,?
20,'2019/10/29 11:01:30:986',2,0,0,132,362,0,?,2,?
21,'2019/10/29 11:01:31:003',2,0,0,132,362,0,?,2,?
22,'2019/10/29 11:01:31:020',2,0,0,131,363,0,?,2,?
23,'2019/10/29 11:01:31:037',2,0,0,131,363,0,?,2,?
24,'2019/10/29 11:01:31:053',2,0,0,129,364,0,?,2,?
25,'2019/10/29 11:01:31:069',2,0,0,129,364,0,?,2,?
26,'2019/10/29 11:01:31:086',2,0,0,129,364,0,?,2,?
27,'2019/10/29 11:01:31:103',2,0,0,129,364,0,?,2,?
